;אשור התקנה תאגיד;דיור מגורים רכישה;הפליה אסור הוסר;חוב בנק גביה;חיל בטחון מלוא;יהודי ערבי עם;יצוג תפקיד דוח;ישוב בניה תכנון;לדה שעה חפשה;מחיר מוצר צרכן;מים מזון עשון;מעסיק פצוי העסקה;מקצוע הכשרה תעודה;נכה קצבה גמלה;נציבות בטחון תלונה;נשואין גרושין נשא;סביבה דיג טבע;סיוע חברתי הרוחה;ספורט התרבות עמתה;עברה עבירות אלימות;פטור תושב פקדה;צרכן פרסום שפה;קטין אחריות אמנה;קפה בחירה תרומה;ראש חקירה נבחר;רפואי מטפל רופא;תביעה משפטי הגשה;תחבורה הרכב רכב;תלמיד לימודים השכלה;תקציב פער קטן
K20_f_562664;0.0043478261;0.0043478261;0.0043478261;0.0043478261;0.0913043478;0.0043478261;0.0043478261;0.0043478261;0.0043478261;0.0043478261;0.0043478261;0.047826087;0.0043478261;0.0043478261;0.0913043478;0.0043478261;0.0043478261;0.0043478261;0.1347826087;0.1347826087;0.0043478261;0.0043478261;0.0043478261;0.0043478261;0.3086956522;0.0043478261;0.0913043478;0.0043478261;0.0043478261;0.0043478261
K20_f_562665;0.0720779221;0.0006493506;0.0006493506;0.026623376600000002;0.026623376600000002;0.0006493506;0.0006493506;0.026623376600000002;0.039610389600000004;0.0006493506;0.0006493506;0.7084415584;0.0006493506;0.0331168831;0.0006493506;0.0006493506;0.0006493506;0.0136363636;0.0006493506;0.0006493506;0.0006493506;0.0006493506;0.0006493506;0.0006493506;0.026623376600000002;0.0006493506;0.0136363636;0.0006493506;0.0006493506;0.0006493506
K20_f_562680;0.30000000000000004;0.0017543860000000001;0.0017543860000000001;0.0017543860000000001;0.3877192982;0.0719298246;0.0017543860000000001;0.0017543860000000001;0.0017543860000000001;0.0017543860000000001;0.0017543860000000001;0.0017543860000000001;0.0017543860000000001;0.0017543860000000001;0.0017543860000000001;0.0017543860000000001;0.0017543860000000001;0.0017543860000000001;0.0017543860000000001;0.0017543860000000001;0.0017543860000000001;0.0017543860000000001;0.0192982456;0.0017543860000000001;0.15964912280000002;0.0017543860000000001;0.0017543860000000001;0.0017543860000000001;0.0192982456;0.0017543860000000001
K20_f_562683;0.0014705882;0.0014705882;0.0014705882;0.0014705882;0.0014705882;0.0014705882;0.0014705882;0.0014705882;0.0014705882;0.0014705882;0.0014705882;0.0014705882;0.4720588235;0.0014705882;0.0897058824;0.0014705882;0.0014705882;0.0014705882;0.0014705882;0.0014705882;0.0455882353;0.0014705882;0.0014705882;0.0014705882;0.3544117647;0.0014705882;0.0014705882;0.0014705882;0.0014705882;0.0014705882
K20_f_562688;0.0011904762;0.0845238095;0.0011904762;0.0011904762;0.0011904762;0.0011904762;0.0011904762;0.0011904762;0.0726190476;0.0130952381;0.0011904762;0.2630952381;0.0845238095;0.0011904762;0.0011904762;0.0011904762;0.0011904762;0.09642857140000001;0.0011904762;0.0130952381;0.0607142857;0.0011904762;0.0011904762;0.0011904762;0.0011904762;0.0011904762;0.0011904762;0.0011904762;0.275;0.0130952381
K20_f_562691;0.0018518519000000002;0.0388888889;0.0018518519000000002;0.0203703704;0.0018518519000000002;0.0018518519000000002;0.0018518519000000002;0.0018518519000000002;0.8722222222;0.0018518519000000002;0.0018518519000000002;0.0018518519000000002;0.0018518519000000002;0.0018518519000000002;0.0018518519000000002;0.0018518519000000002;0.0018518519000000002;0.0018518519000000002;0.0018518519000000002;0.0018518519000000002;0.0203703704;0.0018518519000000002;0.0018518519000000002;0.0018518519000000002;0.0018518519000000002;0.0018518519000000002;0.0018518519000000002;0.0018518519000000002;0.0018518519000000002;0.0018518519000000002
K20_f_562694;0.0169230769;0.0015384615;0.0938461538;0.0015384615;0.0015384615;0.0015384615;0.0938461538;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0169230769;0.20153846150000002;0.10923076920000001;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.1707692308;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.2476923077;0.0169230769;0.0015384615;0.0015384615
K20_f_562698;0.0006535948;0.0725490196;0.0006535948;0.0006535948;0.0006535948;0.0660130719;0.0725490196;0.22941176470000002;0.0006535948;0.039869281;0.0006535948;0.020261437900000002;0.0006535948;0.0006535948;0.0006535948;0.0006535948;0.0006535948;0.0137254902;0.0006535948;0.0006535948;0.0006535948;0.0006535948;0.0006535948;0.020261437900000002;0.0594771242;0.0006535948;0.2751633987;0.0006535948;0.0071895425;0.11176470590000001
K20_f_562701;0.0011111111;0.0011111111;0.0011111111;0.0122222222;0.0455555556;0.0011111111;0.0122222222;0.0011111111;0.09;0.0011111111;0.0011111111;0.0011111111;0.0011111111;0.0011111111;0.0122222222;0.0011111111;0.0122222222;0.22333333330000002;0.0011111111;0.1344444444;0.0011111111;0.0011111111;0.0011111111;0.0011111111;0.1677777778;0.07888888890000001;0.19;0.0011111111;0.0011111111;0.0011111111
K20_f_562702;0.0018867925000000002;0.0018867925000000002;0.0962264151;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.020754717000000002;0.0018867925000000002;0.020754717000000002;0.0018867925000000002;0.058490566;0.0018867925000000002;0.2660377358;0.0018867925000000002;0.0018867925000000002;0.020754717000000002;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.4735849057;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002;0.0018867925000000002
