;אזור ישוב שטח;ארגון בטחון בלתי;בנק כסף תאגיד;דירה חוב דיור;זהום סביבה איכות;זוג הטבה תרומה;חולה מחלה תרופה;חיל מלוא חפשה;חקירה פלילי כתב;חשמל ספורט אנרגיה;יהודי פרסום חפש;יצוג הולם נציג;מבקר בקרת פנימי;מוצר צרכן מים;מעסיק העסקה קבלן;מפלגה התרבות עם;נהג הרכב רכב;נשיא כהנה שוטר;ענש עברה עבירות;עקרון אמנה יסוד;פטור מועד בטחון;פסק הסכם נשואין;פקוח מנהל הקים;קטין אלימות תופעה;קצבה גמלה פנסיה;קרקע תכנון בניה;שדור ערוץ אגרה;שפה עולה ארץ;תביעה אחריות נזק;תלמיד לימודים השכלה
K17_m_135679;0.0017857143;0.0017857143;0.0017857143;0.0017857143;0.0017857143;0.0017857143;0.0017857143;0.0017857143;0.0017857143;0.0017857143;0.0017857143;0.0553571429;0.1446428571;0.0017857143;0.0017857143;0.0017857143;0.0017857143;0.0196428571;0.0017857143;0.0017857143;0.0017857143;0.0017857143;0.6625;0.0017857143;0.0732142857;0.0017857143;0.0017857143;0.0017857143;0.0017857143;0.0017857143
K17_m_135680;0.011111111100000001;0.011111111100000001;0.011111111100000001;0.011111111100000001;0.011111111100000001;0.011111111100000001;0.011111111100000001;0.12222222220000001;0.011111111100000001;0.011111111100000001;0.011111111100000001;0.011111111100000001;0.011111111100000001;0.011111111100000001;0.2333333333;0.2333333333;0.011111111100000001;0.011111111100000001;0.011111111100000001;0.011111111100000001;0.011111111100000001;0.011111111100000001;0.011111111100000001;0.011111111100000001;0.12222222220000001;0.011111111100000001;0.011111111100000001;0.011111111100000001;0.011111111100000001;0.011111111100000001
K17_m_135681;0.1226086957;0.009565217400000001;0.0008695652000000001;0.0008695652000000001;0.0008695652000000001;0.0356521739;0.0008695652000000001;0.009565217400000001;0.0182608696;0.0008695652000000001;0.0530434783;0.0008695652000000001;0.0008695652000000001;0.0008695652000000001;0.4443478261;0.009565217400000001;0.07043478260000001;0.0008695652000000001;0.0008695652000000001;0.0008695652000000001;0.0617391304;0.0356521739;0.08782608700000001;0.0008695652000000001;0.0182608696;0.0008695652000000001;0.009565217400000001;0.0008695652000000001;0.0008695652000000001;0.0008695652000000001
K17_m_135682;0.0047619048;0.0047619048;0.0047619048;0.0047619048;0.0047619048;0.0047619048;0.0047619048;0.0047619048;0.0047619048;0.0047619048;0.5285714286000001;0.0047619048;0.0047619048;0.0047619048;0.0047619048;0.0047619048;0.0047619048;0.0047619048;0.0047619048;0.0047619048;0.0047619048;0.1476190476;0.0047619048;0.0047619048;0.0047619048;0.1476190476;0.0047619048;0.0047619048;0.0523809524;0.0047619048
K17_m_135683;0.0004830918;0.0004830918;0.0004830918;0.0004830918;0.0004830918;0.0004830918;0.0004830918;0.0053140097;0.0004830918;0.1309178744;0.3434782609;0.0004830918;0.16473429950000001;0.0004830918;0.0149758454;0.0632850242;0.0149758454;0.0004830918;0.0004830918;0.0004830918;0.0004830918;0.0487922705;0.0004830918;0.029468599;0.0053140097;0.0004830918;0.0004830918;0.0004830918;0.1695652174;0.0004830918
K17_m_135684;0.0071428571;0.0071428571;0.0071428571;0.0071428571;0.0071428571;0.29285714290000003;0.0071428571;0.0071428571;0.0071428571;0.0071428571;0.0071428571;0.0071428571;0.0071428571;0.0071428571;0.0071428571;0.0071428571;0.0071428571;0.0071428571;0.15;0.0071428571;0.0071428571;0.0071428571;0.0071428571;0.0071428571;0.29285714290000003;0.0071428571;0.0071428571;0.0071428571;0.0071428571;0.0785714286
K17_m_135741;0.0017857143;0.0017857143;0.0017857143;0.0017857143;0.0017857143;0.18035714290000002;0.0017857143;0.0196428571;0.0196428571;0.3589285714;0.0017857143;0.0375;0.0553571429;0.0017857143;0.0196428571;0.0017857143;0.0196428571;0.0017857143;0.0017857143;0.0017857143;0.0017857143;0.0017857143;0.0017857143;0.0017857143;0.0017857143;0.0017857143;0.0017857143;0.0017857143;0.0196428571;0.2339285714
K17_m_135848;0.2938461538;0.0476923077;0.0015384615;0.0938461538;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0169230769;0.0015384615;0.0015384615;0.0015384615;0.1246153846;0.0015384615;0.0015384615;0.0015384615;0.20153846150000002;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.0015384615;0.1707692308;0.0015384615;0.0015384615;0.0169230769;0.0015384615
K17_m_135884;0.0035714286;0.0035714286;0.0035714286;0.325;0.0035714286;0.075;0.0035714286;0.0035714286;0.0035714286;0.0035714286;0.0035714286;0.0035714286;0.0035714286;0.0035714286;0.1107142857;0.0035714286;0.0035714286;0.0035714286;0.0035714286;0.0035714286;0.0035714286;0.39642857140000004;0.0035714286;0.0035714286;0.0035714286;0.0035714286;0.0035714286;0.0035714286;0.0035714286;0.0035714286
K17_m_135902;0.0071428571;0.0071428571;0.0071428571;0.0071428571;0.0071428571;0.0071428571;0.0071428571;0.0071428571;0.0071428571;0.0071428571;0.0071428571;0.0071428571;0.0071428571;0.0071428571;0.0071428571;0.0071428571;0.15;0.43571428570000004;0.0071428571;0.0071428571;0.0785714286;0.0071428571;0.15;0.0071428571;0.0071428571;0.0071428571;0.0071428571;0.0071428571;0.0071428571;0.0071428571
K17_m_135917;0.0032258065;0.035483871;0.0032258065;0.0032258065;0.0032258065;0.1967741935;0.1967741935;0.0032258065;0.0032258065;0.0032258065;0.0032258065;0.0032258065;0.0032258065;0.0032258065;0.1322580645;0.0677419355;0.0032258065;0.0032258065;0.164516129;0.0032258065;0.1322580645;0.0032258065;0.0032258065;0.0032258065;0.0032258065;0.0032258065;0.0032258065;0.0032258065;0.0032258065;0.0032258065
